Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
12	215.6813	65.55813	277.79117	63.896263	316.0	47.99822	26.71862	133.42699	5.410574	52000	1.3038516e-08	496.7555	-0.0077372845	-246.12375	0.54096746	0.0087529365	0.112	19.0	20.20562982559204
13	220.5813	49.263813	283.7641	166.1043	360.875	40.57134	28.150778	118.9793	1.463311	56000	0.0	514.4276	-0.0055565154	-352.05386	0.51579493	0.0023063254	0.046499997	19.0	21.840567588806152
14	252.32098	59.46091	301.02258	108.541115	309.81818	50.3556	26.425568	118.89747	3.822152	60000	0.0	629.3268	-0.00590441	-378.67938	0.5226962	0.011282767	0.073750004	19.0	23.371878385543823
15	264.2974	21.90427	294.09778	228.28214	269.41666	63.293438	18.405174	123.82627	37.863995	64000	8.381903e-09	252.44197	-0.0050886786	-185.1698	0.50037634	0.010658108	0.07575	19.0	24.892164707183838
16	254.01701	40.676258	294.56113	125.76246	274.30768	71.60727	17.03718	128.59935	34.404194	68000	-5.5879354e-09	244.83157	-0.0036997385	-131.06322	0.510986	0.009809328	0.1155	19.0	26.39068865776062
17	241.1158	58.45211	279.91516	43.425133	256.92307	72.13219	15.86569	125.56583	28.846922	72000	-3.7252903e-09	436.62195	-0.004811531	-334.17697	0.5208287	0.0055525526	0.0205	19.0	27.893072605133057
18	255.26352	43.389984	308.9714	160.39954	273.3846	65.30477	28.602404	119.95494	-39.996857	76000	3.7252903e-09	482.26282	-0.005943467	-436.4974	0.48886532	0.0088358205	0.0935	19.0	29.382115364074707
19	233.77254	49.333538	282.09784	126.32883	288.75	66.28716	23.162752	125.46615	-2.2549412	80000	0.0	321.719	-0.0022546612	-219.15372	0.51859015	0.0017531661	0.0235	19.0	30.862874031066895
20	267.4424	18.316515	304.24826	244.00923	251.21428	75.67004	21.21175	122.86596	-14.6151705	84000	1.6763806e-08	351.07745	-0.00500756	-300.58554	0.49831802	0.009474011	0.111	19.0	32.352906942367554
21	244.30235	60.287033	305.84	110.24513	286.15384	77.95666	17.15505	127.26053	27.587536	88000	-3.7252903e-09	592.6961	-0.009193342	-487.2334	0.50281554	0.007044426	0.11225	19.0	33.88849902153015
22	263.08548	19.147537	300.20093	228.55792	257.42856	71.233345	17.079063	128.73451	19.814688	92000	5.5879354e-09	109.42145	-0.0031030737	-88.72919	0.43715572	0.0052337283	0.048	19.0	35.38169479370117
23	244.97626	43.51712	315.85458	154.406	279.5	73.13881	20.344952	140.32225	15.406894	96000	1.8626451e-08	168.73422	-0.005724918	-101.48784	0.4339655	0.002596105	0.03125	19.0	36.91776394844055
24	258.17645	30.347225	310.49936	168.11778	259.46155	77.38114	15.611615	125.97503	16.170809	100000	1.8626451e-08	183.42302	0.010555549	-134.8741	0.42359805	0.015202247	0.29700002	18.0	38.42096447944641
25	271.5577	15.0551815	304.76776	246.95485	242.06667	77.84334	16.905834	128.24973	40.857185	104000	-1.3969839e-08	40.461346	-0.003066998	-22.700249	0.41829908	0.00586113	0.04425	19.0	39.89878702163696
26	260.5186	36.23174	314.31296	151.28128	252.46153	74.27769	20.695948	119.04175	-6.743764	108000	2.2351742e-08	172.77426	-0.003954851	-115.39058	0.4002197	0.005454534	0.0435	19.0	41.39177584648132
27	262.77438	45.62685	306.04688	118.46024	260.76923	72.87236	24.626055	136.09912	-20.846964	112000	-1.1175871e-08	153.84744	-0.0035741907	-103.61605	0.40921146	0.004693024	0.02225	19.0	42.94101333618164
28	235.88106	61.13808	313.62265	98.44746	289.58334	65.91427	31.328987	142.903	-30.002752	116000	-2.2351742e-08	482.55402	-0.0058612656	-381.7672	0.3629834	0.01730026	0.0815	12.0	44.40953874588013
29	263.42526	39.81955	309.43417	148.92789	258.64285	71.64563	22.987474	132.91277	-30.228949	120000	-3.7252903e-09	125.10434	-0.005207842	-105.294876	0.37993678	0.0058453977	0.041500002	19.0	45.91372513771057
30	257.7218	42.97016	306.06042	131.25336	264.41666	74.376884	21.029028	127.32485	-26.17826	124000	2.9802322e-08	502.3203	0.0015208032	-461.39935	0.37076983	0.01810736	0.21775	12.0	47.3466682434082
31	254.23454	40.760715	292.37894	128.83371	276.91666	70.20673	19.17744	125.85207	19.763449	128000	1.1175871e-08	232.52821	-0.0018909862	-159.08301	0.36792347	0.0020198189	0.01575	19.0	48.862945318222046
32	245.83153	61.51715	304.057	100.16311	280.66666	73.73705	18.33646	130.06134	-11.570514	132000	3.7252903e-09	483.90588	-0.0022116117	-365.61197	0.37380123	0.0035179914	0.052249998	19.0	50.43016242980957
33	260.57794	40.367306	301.8294	133.11148	258.23077	70.90438	22.024624	128.51752	3.6638718	136000	-2.2351742e-08	213.69734	-0.0032445453	-154.32565	0.34497577	0.0014778296	0.0385	19.0	51.98547339439392
34	256.98123	49.338177	313.6644	140.43132	274.76923	69.062294	27.908573	133.58344	-27.540699	140000	1.8626451e-08	331.60767	-0.0036045918	-284.2423	0.32177722	0.0032184138	0.028749999	19.0	53.48420834541321
35	265.02756	48.326813	322.37213	110.061195	260.53845	72.57088	26.918144	149.07202	-18.452017	144000	-3.7252903e-09	223.82162	-0.0031046243	-128.91008	0.3181705	0.004299435	0.033	19.0	55.017454385757446
36	255.60983	41.563324	300.55225	122.10941	264.07693	69.966576	20.817257	130.34435	-21.66921	148000	-1.1175871e-08	208.10403	-0.004291134	-88.18367	0.28008932	0.0072593708	0.07975	19.0	56.569052934646606
37	265.311	17.516367	284.03625	231.49518	252.6923	73.578995	22.960655	130.59872	-21.925632	152000	3.7252903e-09	287.2488	-0.0031523649	-193.37122	0.27760708	0.0062121954	0.045	19.0	58.07005023956299
38	234.07414	59.126575	287.10474	72.14478	263.41666	75.66477	15.609057	128.54027	36.66093	156000	7.450581e-09	492.2849	-0.008147107	-390.09293	0.27032554	0.006764857	0.028	19.0	59.556437969207764
39	267.23727	20.235214	301.2511	225.02011	241.92857	72.38748	22.506884	133.85823	-47.22784	160000	-7.450581e-09	185.61446	-0.0021355178	-143.57608	0.2772454	0.0028097397	0.018	19.0	61.05116271972656
40	257.0815	27.76679	284.50415	169.63515	255.28572	76.96893	15.359447	127.01596	13.000921	164000	1.4901161e-08	183.64825	-0.002770178	-121.189865	0.28879118	0.0039110687	0.041500002	19.0	62.599706172943115
41	248.23909	50.69776	281.85995	129.02902	286.08334	68.285614	23.636497	123.170815	-13.698603	168000	5.5879354e-09	114.95867	-0.003236821	-66.62938	0.28455007	0.0018847906	0.01275	19.0	64.12684345245361
42	273.95895	13.194201	290.66104	250.1341	250.64285	75.96577	17.771025	131.01212	25.228819	172000	6.7520887e-09	110.15955	-0.00333908	-94.39	0.2715196	0.004588316	0.0275	19.0	65.63023853302002
43	261.33023	21.935268	302.3241	230.74158	247.13333	80.46226	15.078785	144.07411	50.23434	176000	-5.5879354e-09	44.54724	-0.0030549387	-28.301218	0.2668025	0.0009362614	0.01725	19.0	67.13678073883057
44	245.41454	52.18416	284.42975	121.17381	280.23077	76.13284	18.87236	130.69936	5.115474	180000	7.450581e-09	407.2257	-0.0017548278	-310.36618	0.2640031	0.0030379845	0.058000002	19.0	68.70392084121704
45	234.03966	56.413654	287.8115	84.532776	270.76923	68.91569	21.672003	131.36539	11.226805	184000	0.0	344.5142	0.00029032677	-234.4327	0.28289315	0.0057060546	0.04625	19.0	70.24000358581543
46	256.23508	16.213024	280.2376	231.78609	249.28572	73.20778	16.302082	109.19194	27.090157	188000	2.2351742e-08	124.409615	-0.0020607822	-108.79878	0.2401073	0.0054584495	0.02725	19.0	71.72862362861633
47	252.99194	29.965866	277.61826	161.87952	266.76923	75.70447	17.105951	125.861374	-0.88190794	192000	-1.4901161e-08	214.16354	-0.0005018129	-167.1096	0.24181737	0.00922496	0.1065	19.0	73.24622082710266
48	252.98288	50.991745	311.75998	126.62226	269.42856	73.53977	20.450975	120.346	-4.0437317	196000	7.450581e-09	251.55582	-0.0019990876	-171.01797	0.20602518	0.01055916	0.05125	19.0	74.75699210166931
49	255.90178	54.179184	316.3825	122.88507	272.3846	71.49982	27.117212	141.59619	-24.885897	200000	9.313226e-09	682.774	-0.0026208153	-642.9918	0.2628914	0.0037824553	0.03625	19.0	76.29037976264954
50	252.45299	49.6256	301.85046	125.9946	262.42856	70.16923	24.684029	132.46715	-1.1717952	204000	-7.450581e-09	328.3728	-0.0039302185	-246.21892	0.25490165	0.017741282	0.066250004	5.0	77.7594666481018
51	231.88934	62.14525	289.207	69.08979	280.58334	64.33456	26.03385	126.942535	-26.868422	208000	-1.4901161e-08	490.8365	-0.0026836805	-284.42987	0.24524581	0.002771066	0.033749998	19.0	79.33295917510986
52	264.53436	21.01077	297.20697	223.90875	258.07693	72.96407	17.471657	135.45795	6.615582	212000	1.4901161e-08	169.08618	-0.0033625863	-109.02009	0.25034818	0.004197678	0.04	19.0	80.86486530303955
53	268.33914	17.87085	300.35995	242.28711	264.46155	75.23197	14.39669	127.88756	38.456516	216000	1.8626451e-08	122.013115	-0.0030794803	-44.749134	0.23062888	0.00012460683	0.034	19.0	82.38019442558289
54	236.69666	40.401707	287.25937	150.26053	279.33334	71.1917	22.373037	130.5373	-18.10476	220000	-1.1175871e-08	257.01608	-0.0044211666	-164.22241	0.22478452	0.0026971153	0.01825	19.0	83.90051078796387
55	264.12085	20.74398	297.4965	216.96742	280.0	69.785904	23.014055	127.374825	-4.156385	224000	0.0	255.1936	-0.0029964421	-167.10089	0.21357423	0.004623394	0.030499998	19.0	85.42284154891968
56	264.5306	19.24367	299.8404	234.71808	253.23077	72.03029	15.184223	114.96844	36.669315	228000	1.4901161e-08	88.72029	-0.0035739823	-59.612873	0.22614716	0.002012224	0.021249998	19.0	86.91186237335205
57	255.42473	37.694042	281.7989	136.03255	267.41666	73.67111	20.735025	123.719246	-18.207937	232000	0.0	448.37573	-0.005230138	-233.46042	0.21379918	0.02013098	0.07625	8.0	88.34428977966309
58	265.31186	34.857494	307.33432	179.6133	259.33334	75.5525	18.094975	150.13174	-10.764184	236000	1.3038516e-08	298.34933	-0.0019092988	-179.08702	0.22733358	0.0020671915	0.0385	19.0	89.85218167304993
59	254.44131	51.776756	316.1544	138.49213	276.23077	74.19592	22.719883	141.30815	-17.334337	240000	2.9802322e-08	315.88904	0.006137727	-240.80469	0.25189826	0.015906557	0.13475001	14.0	91.4289665222168
60	262.28674	49.709652	305.39737	150.55804	286.33334	78.14158	16.288254	135.71985	29.860895	244000	1.4901161e-08	437.482	-0.0014256015	-259.90866	0.31846887	0.0020701897	0.02425	19.0	93.13694286346436
61	263.53827	28.341753	312.03732	181.40054	255.84616	63.47016	25.385715	140.6163	-18.422138	248000	0.0	277.2059	-0.0029891343	-150.21523	0.26288038	0.003793492	0.0375	19.0	94.66836643218994
62	228.06128	65.81534	284.33453	107.78425	295.66666	69.325424	27.489748	128.34265	-30.936693	252000	1.4901161e-08	677.4307	0.01923191	-445.87964	0.28421712	0.02193712	0.17525	11.0	96.1821038722992
63	234.25673	51.59611	287.93994	92.769615	275.69232	66.30223	24.760948	124.642914	-32.168903	256000	1.8626451e-08	336.79953	0.011969631	-213.04843	0.30138552	0.022925783	0.20425	2.0	97.5724995136261
64	228.70146	55.20721	282.7566	92.86632	285.58334	64.332535	26.71558	112.04395	-21.148548	260000	7.450581e-09	616.0235	-0.0040097637	-362.1469	0.30065602	0.0029361006	0.037	19.0	99.11744737625122
65	257.87704	10.923974	277.44598	239.60526	241.78572	71.3281	16.928297	119.426476	-24.922064	264000	-9.313226e-09	216.26613	-0.0010985718	-177.90361	0.25544512	0.0013105802	0.0335	19.0	100.63777542114258
66	239.68773	56.552296	295.53815	109.9666	271.3846	69.38809	27.412596	132.67087	-8.179278	268000	-1.6763806e-08	313.42282	-0.010005869	-177.69318	0.26489335	0.005464237	0.027	19.0	102.17289590835571
67	254.9082	35.37354	304.6178	156.81636	254.84616	73.177704	18.655945	143.83313	-6.8531547	272000	-6.519258e-09	182.99205	-0.007120463	-143.3826	0.262671	0.006955486	0.0465	19.0	103.69058752059937
68	269.06287	18.18979	300.09103	243.83893	258.7857	73.216705	21.126575	129.37543	-16.035473	276000	-1.1175871e-08	241.30917	-0.0034224824	-165.72777	0.24857637	0.0077632945	0.0235	19.0	105.20669031143188
69	255.40294	47.119102	294.45752	102.14712	259.3846	76.624084	15.201426	141.1446	28.620123	280000	2.2351742e-08	227.0456	-0.008987581	-135.25296	0.23549473	0.01895981	0.068500005	11.0	106.65926361083984
70	225.68599	78.292564	304.99005	27.285824	296.33334	72.435135	21.572899	122.12763	-29.19133	284000	4.656613e-09	687.8183	-0.0015162989	-418.47095	0.25699165	0.0024712828	0.034500003	19.0	108.1976478099823
71	271.43484	17.772823	299.86392	244.79565	257.2857	67.25575	22.438742	133.75139	-83.081474	288000	5.5879354e-09	253.3698	-0.0028250497	-201.11159	0.22830862	0.0017802664	0.013500001	19.0	109.74182724952698
72	228.44345	78.35505	291.81485	40.667404	284.46155	66.53495	26.14788	129.0823	-16.199448	292000	-3.7252903e-09	576.77454	-0.0038400702	-253.68565	0.261313	0.005672004	0.07225	19.0	111.26751661300659
73	241.84401	50.815212	307.45798	130.05356	283.92307	64.877144	30.71639	126.60575	-119.43708	296000	-1.4901161e-08	297.81885	-0.003346309	-192.52951	0.2553422	0.0027548003	0.030500002	19.0	112.80332589149475
74	270.14957	39.126408	312.09494	151.16254	253.15384	68.74275	26.720627	132.6757	-10.830722	300000	-3.7252903e-09	300.1156	-0.0023159133	-236.63127	0.23859836	0.0047747167	0.02775	19.0	114.30914616584778
75	255.27449	35.267353	292.16095	144.36243	255.07143	77.17233	15.043305	135.94104	40.137024	304000	0.0	226.82182	-0.00078934897	-138.26051	0.18619347	0.0025726599	0.031999998	19.0	115.84906077384949
76	254.75891	33.20635	297.89542	169.61781	285.41666	72.214516	19.693552	125.108765	4.7977304	308000	-1.1175871e-08	222.07527	-0.0026384294	-113.68016	0.1953137	0.006560907	0.02725	19.0	117.41462540626526
77	251.85522	35.082294	292.64218	139.95659	263.42856	67.02292	20.650455	129.8167	7.7633862	312000	-1.8626451e-08	215.40604	-0.0057118153	-125.11497	0.1792933	0.0035259887	0.0325	19.0	118.97636818885803
78	268.80588	20.031403	308.26324	232.73521	257.83334	76.26324	22.100574	152.79512	-57.339203	316000	-1.5832484e-08	287.87143	-0.0050140843	-228.43628	0.13951322	0.007640376	0.042999998	19.0	120.48147130012512
79	255.25595	52.04442	301.75085	80.891594	253.86667	74.34956	19.3697	130.4006	-20.799887	320000	-7.450581e-09	155.61685	-0.0023974357	-88.97995	0.18992844	0.0020322497	0.023	19.0	121.99362373352051
80	270.27246	12.882842	293.06302	252.64403	265.25	72.6376	17.51789	138.43874	15.335191	324000	7.450581e-09	81.787476	-0.004335372	-47.485123	0.14727604	0.0027886187	0.027	19.0	123.51089978218079
81	261.40488	17.644611	289.4568	225.78893	255.75	75.666824	15.152817	135.04518	-11.15624	328000	2.2351742e-08	134.58899	-0.0019999307	-78.43651	0.14973634	0.0043674284	0.070999995	19.0	124.9964861869812
82	259.4433	16.215696	287.14682	231.8023	237.4	69.26292	20.61931	116.50712	-25.000452	332000	-7.450581e-09	250.73154	-0.0015128767	-179.14195	0.2052638	0.002439566	0.011	19.0	126.5114107131958
83	264.17035	17.106703	292.3119	229.83197	243.6	79.75975	17.307686	138.65404	13.444461	336000	-3.7252903e-09	81.477356	-0.0025803817	-67.29758	0.19085634	0.0023320979	0.0325	19.0	127.99362111091614
84	261.0285	32.937904	299.23056	171.39961	255.64285	80.76006	16.201078	140.5794	45.058537	340000	-7.450581e-09	184.82132	-0.0017595068	-104.19571	0.16953443	0.0030649425	0.028500002	19.0	129.5260305404663
85	233.0472	51.330257	288.3788	123.54485	279.07693	71.21	30.417536	134.95168	-37.192616	344000	0.0	596.01636	-0.0026069097	-504.26813	0.20023738	0.0044980445	0.06875	19.0	131.04537868499756
86	266.24725	22.157604	308.27164	229.57144	241.93333	73.81252	21.093178	120.981575	-21.752413	348000	-5.5879354e-09	209.12564	-0.0051665828	-138.3319	0.16510685	0.0118311085	0.054	19.0	132.55183577537537
87	253.88255	41.427685	300.2862	121.09663	260.30768	76.99322	18.448101	141.5177	-20.468584	352000	0.0	306.49045	-0.0023636743	-254.47011	0.1999543	0.0037713433	0.04975	19.0	134.1180145740509
88	268.30692	14.633793	296.5261	241.96246	246.66667	76.70307	16.575766	138.99078	27.431877	356000	1.1175871e-08	65.427765	-0.0034222591	-44.747803	0.187933	0.005840972	0.03425	19.0	135.61434173583984
89	258.0054	12.605198	277.03134	234.36026	252.92308	76.84116	13.063671	118.81499	46.69572	360000	7.450581e-09	66.98453	-0.00686205	-23.350706	0.17289579	0.009380263	0.03175	19.0	137.12604546546936
90	258.11288	47.643593	312.72507	117.81329	262.83334	77.06675	18.864937	134.76662	-1.1274084	364000	1.4901161e-08	336.94598	-0.0032820012	-210.83347	0.21363589	-0.00092420465	0.044749998	19.0	138.706622838974
91	250.86752	44.043438	296.74384	118.283356	264.46155	68.419876	18.908709	123.40146	-22.063435	368000	7.450581e-09	150.70403	-0.007860942	-80.12923	0.19172288	0.008131599	0.058	19.0	140.29063820838928
92	258.95953	33.417107	301.40875	160.99858	267.07693	68.613434	19.114	123.59431	-21.878906	372000	1.4901161e-08	358.56296	-0.0043742573	-251.31894	0.22112738	0.0034789494	0.04325	19.0	141.84512591362
93	259.2746	11.242689	284.1827	239.70613	249.14285	74.29877	17.27064	126.817406	-15.10366	376000	-7.450581e-09	107.72017	-0.002648389	-84.4046	0.1745586	-0.0001838814	0.022	19.0	143.3533980846405
94	268.88513	17.250843	299.95117	245.78229	250.46153	81.34312	16.630678	142.62502	4.5602155	380000	7.450581e-09	226.60884	0.0008494854	-165.95169	0.18846732	0.0038791033	0.04525	19.0	144.84811687469482
95	266.643	29.888786	300.01547	172.87297	261.7857	75.61595	19.815447	124.649254	-27.282602	384000	-8.8475645e-09	202.32397	0.008519633	-150.86858	0.18766457	0.016449947	0.11575	6.0	146.25822377204895
96	261.4605	34.51396	309.58826	163.92805	265.92307	75.88511	20.936272	129.3325	0.7830788	388000	-3.7252903e-09	85.91312	-0.0011343722	-54.65732	0.18335038	0.0013125197	0.019749999	19.0	147.7623369693756
97	252.47363	26.7642	302.96286	185.10442	265.69232	69.50989	24.585896	134.93031	-39.3588	392000	1.1175871e-08	218.2065	-0.0020588208	-165.60048	0.1789639	0.000797753	0.009	19.0	149.30745935440063
98	255.94804	19.837389	287.41394	224.1715	250.53334	74.93347	14.985109	118.42201	33.519104	396000	0.0	219.41609	-0.0014837403	-121.3127	0.16866738	0.0036706128	0.0165	19.0	150.81042647361755
99	271.91107	18.408741	310.15796	237.01	250.0	78.11934	21.463343	131.57306	-44.52307	400000	1.4901161e-08	208.42548	-0.0035886457	-111.698494	0.1837439	-0.0009201995	0.0235	19.0	152.32668232917786
